Sample	Rare	Small	Medium	Large	Hyperexpanded
LIB170921LC_S44	0.00510947018326885	0.095666859097528	0.689494136602935	0.209729534116268	0
LIB170921LC_S45	0	0.0569425400357023	0.469096835950638	0.47396062401366	0
LIB170921LC_S46	0.00924844489432202	0.135863029579451	0.806206580324777	0.04868194520145	0
LIB170921LC_S48	0.00653119836676788	0.414199084767169	0.536172458239258	0.0430972586268047	0
LIB170921LC_S49	0	0.0832367542509211	0.650326062514054	0.266437183235025	0
LIB170921LC_S51	0	0.08789652731009	0.572717539587974	0.31551226925003	0.0238736638519056
LIB170921LC_S53	0	0.0538069751381215	0.525733770718232	0.405015538674033	0.0154437154696133
LIB170921LC_S54	0	0.0807957180165659	0.651942320786754	0.26726196119668	0
LIB170921LC_S56	0.00536456626360547	0.174115536542873	0.802356269297777	0.0181636278957446	0
LIB170921LC_S59	0	0.0822964852362631	0.601089447062384	0.316614067701353	0
LIB170921LC_S61	0.00992784446089997	0.104220840723966	0.731164648952109	0.108534674266821	0.0461519915962045
LIB170921LC_S62	0	0.0578730676609959	0.4615776344977	0.360642861458522	0.119906436382782
LIB170921LC_S65	0	0.0416254908869048	0.537668319426661	0.420706189686434	0
LIB171213LC_S150	0	0.210442735903088	0.765138235651434	0.0244190284454781	0
LIB171213LC_S151	0	0.144430118617844	0.7014870208011	0.0725545813993467	0.0815282791817088
LIB171213LC_S152	0	0.108272147953176	0.646645771282122	0.245082080764702	0
LIB171213LC_S153	0	0.111090989056477	0.85623366879673	0.0326753421467933	0
LIB190701LC_S41	0.0054778423867495	0.197582491640674	0.720699159315356	0.0629519867978814	0.0132885198593387
LIB190701LC_S42	0.00180764573603183	0.107187337830825	0.79666147725307	0.0943435391800727	0
LIB170921LC_S88	0.0147405761912142	0.1097191369186	0.712834289059944	0.162705997830242	0
LIB170921LC_S90	0.0080088872813703	0.0821470707279475	0.532341264715254	0.377502777275428	0
LIB170921LC_S91	0.00962961040309394	0.0907069501042559	0.678459262335505	0.221204177157145	0
LIB170921LC_S94	0.00841495378672921	0.0807611394675128	0.588693268036971	0.322130638708787	0
LIB170921LC_S95	0.0107309486780715	0.300051840331778	0.683022291342665	0.00619491964748574	0
LIB170921LC_S98	0.00714267161891899	0.131728180220427	0.734006908911457	0.127122239249197	0
LIB171213LC_S135	0.0156510472900022	0.31764197797452	0.649371625998705	0.0173353487367739	0
LIB171213LC_S136	0	0.256340995192226	0.7030392606561	0.0406197441516742	0
LIB171213LC_S137	0.0168914875792857	0.411695816450394	0.564300490673779	0.00711220529654134	0
LIB171213LC_S138	0.0343839788777967	0.462315676850997	0.475698249307575	0.0276020949636315	0
LIB171213LC_S139	0.0202565312513406	0.396962807258376	0.56707991935138	0.0157007421389044	0
LIB171213LC_S140	0	0.181911239113085	0.770481279711302	0.0476074811756133	0
LIB190701LC_S35	0.00191054169476287	0.0637394747307087	0.825068727631101	0.0983972197728098	0.0108840361706174
LIB190701LC_S36	0.00186678420493142	0.126828973182262	0.795993327974971	0.0753109146378352	0
LIB190701LC_S37	0.0040986441615938	0.125570697288323	0.811298076923077	0.0395337576092972	0.0194988240177089
LIB190701LC_S38	0.00390195790038327	0.131870603808519	0.817758666931988	0.0464687713591099	0
LIB190701LC_S40	0.00323787096997611	0.425026837967933	0.56033348339509	0.0114018076670014	0
LIB170921LC_S103	0	0.0609309128452207	0.358504688978749	0.58056439817603	0
LIB170921LC_S109	0	0.0614415361676822	0.499797464426997	0.424109489868912	0.014651509536409
LIB170921LC_S111	0.0066805700983913	0.0546560631365796	0.601095544267431	0.324665322475965	0.012902500021634
LIB170921LC_S115	0.0118777307599683	0.0882099975917707	0.593430694602126	0.280808132934255	0.0256734441118795
LIB170921LC_S116	0	0.112034480088781	0.700131623093401	0.187833896817818	0
LIB171213LC_S128	0.0162098770794423	0.487251878556226	0.492220822655605	0.00431742170872606	0
LIB171213LC_S129	0	0.0812713549242195	0.620745152378412	0.240448916008985	0.0575345766883838
LIB171213LC_S130	0.0241235712294397	0.386508572623362	0.558997769724004	0.00572379425703931	0.0246462921661556
LIB190701LC_S24	0.00341350017715634	0.218273892340797	0.756267445578437	0.0220451619036097	0
LIB190701LC_S25	0.00170309150010374	0.0749273808700463	0.809020333356387	0.103231551282938	0.0111176429905249
LIB190701LC_S26	0.00357531478314939	0.245720849094081	0.577344249270256	0.0742957320759279	0.099063854776586
LIB190701LC_S27	0.0042030223787208	0.105809146536175	0.836202953335232	0.0537848777498727	0
LIB190701LC_S29	0	0.145468327389874	0.639343979878374	0.197193653418781	0.0179940393129705
LIB190701LC_S30	0.00295488417370928	0.0325037259108021	0.810784035010639	0.143678012388115	0.0100793425167343
LIB190701LC_S32	0.00579088842600195	0.281964407643973	0.692538397047511	0.0197063068825141	0
LIB171213LC_S131	0.0153789475487928	0.256892681505852	0.706823283469559	0.0209050874757964	0
LIB171213LC_S132	0.0394790184154915	0.431638418079096	0.517565877431319	0.0113166860740933	0
LIB171213LC_S133	0.0273356673272859	0.392512593963628	0.557286164537843	0.022865574171243	0
LIB171213LC_S134	0.0245815098002486	0.406144100267357	0.554067401188632	0.0152069887437631	0
LIB190701LC_S28	0.00701978302488832	0.0911105745183601	0.709351661808586	0.192517980648166	0
LIB190701LC_S31	0.00327332242225859	0.0861715117034266	0.750500090925623	0.160055074948692	0
LIB190701LC_S33	0.0051864336101748	0.340167494874379	0.640789519407861	0.0138565521075859	0
LIB190701LC_S34	0.00366775661320738	0.250436843653224	0.690913652012941	0.0274130205359769	0.0275687271846508
LIB171213LC_S141	0.0265495797170778	0.497018724800109	0.471682156768947	0.00474953871386592	0
LIB171213LC_S142	0.0205173492922243	0.524791439815489	0.441487400649901	0.0132038102423842	0
LIB171213LC_S143	0.0139253034222909	0.22821349816818	0.739065511433681	0.0187956869758478	0
LIB171213LC_S144	0	0.285543557130053	0.694634854240471	0.0198215886294763	0
LIB171213LC_S145	0.015845706518934	0.261944497014951	0.697572389587598	0.0246374068785162	0
LIB171213LC_S146	0	0.16956356801683	0.743925991067888	0.0396858241511907	0.0468246167640922
LIB171213LC_S148	0.0316841460092618	0.461003473168074	0.490695655134841	0.00565241078725143	0.0109643149005721
LIB171213LC_S149	0	0.304842498756795	0.665534921206509	0.029622580036696	0
LIB171213LC_S154	0	0.0170098478066249	0.718054886027133	0.264935266166242	0
LIB171213LC_S155	0	0.0570837998449746	0.803918697786582	0.138997502368444	0
LIB171213LC_S156	0	0	0.014443639624724	0.361418667218543	0.624137693156733
LIB171213LC_S158	0	0.0274614927122749	0.771654154132584	0.200884353155141	0
LIB171213LC_S159	0.0192910661346957	0.400627087800836	0.554331946449777	0.0257498996146913	0
LIB171213LC_S161	0.00283892345261414	0.0198206904883121	0.812052912700947	0.165287473358127	0
LIB171213LC_S162	0.0070284406668846	0.114270229349116	0.824590079317286	0.0541112506667126	0
LIB171213LC_S163	0.017921643697974	0.609665041101112	0.342408204630697	0.0300051105702184	0
LIB171213LC_S164	0.00451488704149725	0.0341163166118492	0.815640673693661	0.111430519945787	0.0342976027072057
LIB190701LC_S43	0.00309699297553549	0.234783210491712	0.741565452091768	0.0205543444409841	0
LIB190701LC_S44	0	0.0831186732715916	0.811854404479862	0.0888994184794314	0.0161275037691148
LIB190701LC_S45	0.00632812905233674	0.258398602970417	0.726273838546259	0.00899942943098708	0
LIB190701LC_S46	0.00267839400039744	0.0650849742096578	0.801928443680286	0.130308188109659	0
LIB190701LC_S47	0.00536660281962347	0.165933288467844	0.719780504219082	0.0706804024089317	0.0382392020845197
LIB191025LC_S74	0.00166461105888238	0.0196993350180692	0.721112960678954	0.257523093244094	0
LIB191025LC_S76	0	0	0.0137977423444089	0.625537896361708	0.360664361293883
LIB191025LC_S79	0	0.0048276694425766	0.0910705356988914	0.863368333936792	0.04073346092174
LIB191025LC_S81	0.00582924941965437	0.0872152007565987	0.841526953830281	0.0654285959934657	0
LIB191025LC_S77	0	0	0.0468337844594245	0.809759840008275	0.1434063755323
LIB191025LC_S78	0	0.0126158754796706	0.145802612857328	0.824895442590437	0.016686069072565
LIB191025LC_S80	0	0.0174245753729221	0.497272562756909	0.485302861870169	0
LIB191025LC_S82	0.0034881411833778	0.093722209271203	0.867174346621079	0.0356153029243401	0
LIB191025LC_S83	0.00519223317690619	0.0163430490377578	0.757153312954751	0.221311404830585	0
LIB191025LC_S84	0	0.0124641204003	0.301250721901856	0.686285157697844	0
LIB191025LC_S85	0	0.00642551576623197	0.202002690954254	0.753510315324639	0.0380614779548747
LIB191025LC_S86	0.00115529192675104	0.012656481705004	0.540530054833259	0.445658171534986	0
LIB191025LC_S87	0	0.0125793212856946	0.41962684508208	0.567793833632225	0
